sp|Q6P2Q9|PRP8_HUMAN	sp|P33334|PRP8_YEAST	62.473	2321	3059	0.0
sp|P35670|ATP7B_HUMAN	sp|P38929|ATC2_YEAST	25.368	272	54.7	2.72e-08
sp|Q8NEB9|PK3C3_HUMAN	sp|P22543|VPS34_YEAST	36.254	913	535	1.33e-178
sp|Q8NEB9|PK3C3_HUMAN	sp|P37297|STT4_YEAST	34.553	246	130	7.21e-32
sp|Q8NEB9|PK3C3_HUMAN	sp|P39104|PIK1_YEAST	28.889	270	126	9.81e-31
sp|Q8NEB9|PK3C3_HUMAN	sp|P38110|ATM_YEAST	26.848	257	83.6	2.60e-17
sp|Q8NEB9|PK3C3_HUMAN	sp|P38111|ATR_YEAST	25.926	297	74.7	1.05e-14
sp|Q8NEB9|PK3C3_HUMAN	sp|P35169|TOR1_YEAST	26.882	279	67.8	1.65e-12
sp|Q8NEB9|PK3C3_HUMAN	sp|P32600|TOR2_YEAST	26.136	264	66.6	3.88e-12
sp|P48454|PP2BC_HUMAN	sp|P23287|PP2B1_YEAST	51.081	509	527	0.0
sp|P48454|PP2BC_HUMAN	sp|P14747|PP2B2_YEAST	49.533	535	523	0.0
sp|P48454|PP2BC_HUMAN	sp|P32598|PP12_YEAST	38.686	274	227	1.12e-71
sp|P48454|PP2BC_HUMAN	sp|P23594|PP2A1_YEAST	38.435	294	216	5.79e-67
sp|P48454|PP2BC_HUMAN	sp|P23595|PP2A2_YEAST	38.435	294	216	1.68e-66
sp|P48454|PP2BC_HUMAN	sp|P32345|PP4C_YEAST	40.000	280	213	3.43e-66
sp|P48454|PP2BC_HUMAN	sp|P32838|PP2A4_YEAST	39.847	261	205	1.32e-62
sp|P48454|PP2BC_HUMAN	sp|P26570|PPZ1_YEAST	39.700	267	208	8.26e-61
sp|P48454|PP2BC_HUMAN	sp|P20604|PP11_YEAST	40.942	276	198	9.62e-61
sp|P48454|PP2BC_HUMAN	sp|P33329|PPZ2_YEAST	38.202	267	202	1.58e-58
sp|P48454|PP2BC_HUMAN	sp|P32945|PPQ1_YEAST	38.610	259	198	3.02e-58
sp|P48454|PP2BC_HUMAN	sp|P53043|PPP5_YEAST	36.601	306	196	8.25e-58
sp|A5YKK6|CNOT1_HUMAN	sp|P25655|NOT1_YEAST	27.326	688	234	7.59e-63
sp|A5YKK6|CNOT1_HUMAN	sp|P25655|NOT1_YEAST	30.271	479	230	1.82e-61
sp|A5YKK6|CNOT1_HUMAN	sp|P25655|NOT1_YEAST	31.373	204	106	7.15e-24
sp|O60684|IMA7_HUMAN	sp|Q02821|IMA1_YEAST	53.620	511	532	0.0
sp|P47897|SYQ_HUMAN	sp|P13188|SYQ_YEAST	38.480	829	527	6.79e-178
sp|P47897|SYQ_HUMAN	sp|P46655|SYEC_YEAST	32.411	506	242	6.29e-71
sp|P47897|SYQ_HUMAN	sp|P48525|SYEM_YEAST	26.087	299	58.5	5.21e-10
sp|P15170|ERF3A_HUMAN	sp|P05453|ERF3_YEAST	57.377	427	512	7.74e-178
sp|P15170|ERF3A_HUMAN	sp|P02994|EF1A_YEAST	37.931	435	312	9.44e-103
sp|P15170|ERF3A_HUMAN	sp|P32769|HBS1_YEAST	31.911	492	241	5.42e-74
sp|P15170|ERF3A_HUMAN	sp|P02992|EFTU_YEAST	29.664	327	132	5.49e-35
sp|P15170|ERF3A_HUMAN	sp|P46943|GUF1_YEAST	25.680	331	70.1	6.15e-14
sp|P15170|ERF3A_HUMAN	sp|P25039|EFGM_YEAST	26.316	152	50.4	1.14e-07
sp|P15170|ERF3A_HUMAN	sp|P32481|IF2G_YEAST	26.190	168	47.8	7.12e-07
sp|P15170|ERF3A_HUMAN	sp|P39677|RRF2M_YEAST	25.641	156	44.3	8.12e-06
sp|P52701|MSH6_HUMAN	sp|Q03834|MSH6_YEAST	33.050	1059	516	5.27e-162
sp|P52701|MSH6_HUMAN	sp|P25847|MSH2_YEAST	35.608	337	203	1.42e-54
sp|P52701|MSH6_HUMAN	sp|P25847|MSH2_YEAST	23.345	287	54.3	3.24e-08
sp|P52701|MSH6_HUMAN	sp|P25336|MSH3_YEAST	28.593	661	200	2.44e-53
sp|P52701|MSH6_HUMAN	sp|P25846|MSH1_YEAST	37.113	194	140	6.31e-35
sp|P52701|MSH6_HUMAN	sp|P25846|MSH1_YEAST	27.500	160	51.6	2.02e-07
sp|P52701|MSH6_HUMAN	sp|Q12175|MSH5_YEAST	29.482	251	130	6.53e-32
sp|P52701|MSH6_HUMAN	sp|P40965|MSH4_YEAST	23.182	729	117	9.38e-28
sp|Q14738|2A5D_HUMAN	sp|P38903|2A5D_YEAST	54.603	478	528	0.0
sp|O75351|VPS4B_HUMAN	sp|P52917|VPS4_YEAST	60.356	449	528	0.0
sp|O75351|VPS4B_HUMAN	sp|P39955|SAP1_YEAST	43.750	352	266	1.38e-81
sp|O75351|VPS4B_HUMAN	sp|P40328|TBP6_YEAST	47.909	263	255	1.64e-78
sp|O75351|VPS4B_HUMAN	sp|P33297|PRS6A_YEAST	38.735	253	157	1.42e-44
sp|O75351|VPS4B_HUMAN	sp|P25694|CDC48_YEAST	38.696	230	158	2.64e-43
sp|O75351|VPS4B_HUMAN	sp|P25694|CDC48_YEAST	36.404	228	153	1.35e-41
sp|O75351|VPS4B_HUMAN	sp|P40340|ATAD2_YEAST	37.179	234	158	4.37e-43
sp|O75351|VPS4B_HUMAN	sp|Q07844|RIX7_YEAST	33.022	321	157	4.97e-43
sp|O75351|VPS4B_HUMAN	sp|Q07844|RIX7_YEAST	32.616	279	127	9.16e-33
sp|O75351|VPS4B_HUMAN	sp|P28737|MSP1_YEAST	34.728	239	149	4.83e-42
sp|O75351|VPS4B_HUMAN	sp|P33298|PRS6B_YEAST	39.331	239	149	1.07e-41
sp|O75351|VPS4B_HUMAN	sp|P33760|PEX6_YEAST	35.745	235	154	1.38e-41
sp|O75351|VPS4B_HUMAN	sp|P53549|PRS10_YEAST	36.090	266	146	2.28e-40
sp|O75351|VPS4B_HUMAN	sp|P32794|AFG2_YEAST	35.808	229	147	1.92e-39
sp|O75351|VPS4B_HUMAN	sp|P32794|AFG2_YEAST	35.776	232	146	3.93e-39
sp|O75351|VPS4B_HUMAN	sp|Q01939|PRS8_YEAST	36.471	255	142	2.41e-39
sp|O75351|VPS4B_HUMAN	sp|P24004|PEX1_YEAST	28.775	351	142	1.69e-37
sp|O75351|VPS4B_HUMAN	sp|P32795|YME1_YEAST	36.100	241	139	1.40e-36
sp|O75351|VPS4B_HUMAN	sp|P33299|PRS7_YEAST	36.111	252	135	3.05e-36
sp|O75351|VPS4B_HUMAN	sp|P40327|PRS4_YEAST	34.940	249	134	4.68e-36
sp|O75351|VPS4B_HUMAN	sp|P40341|YTA12_YEAST	37.805	246	135	2.89e-35
sp|O75351|VPS4B_HUMAN	sp|P39925|AFG3_YEAST	37.344	241	120	1.38e-30
sp|O75351|VPS4B_HUMAN	sp|P18759|SEC18_YEAST	31.276	243	93.2	1.98e-21
sp|O75351|VPS4B_HUMAN	sp|P32839|BCS1_YEAST	27.778	198	54.7	3.57e-09
sp|P34897|GLYM_HUMAN	sp|P37291|GLYC_YEAST	55.727	454	548	0.0
sp|P34897|GLYM_HUMAN	sp|P37292|GLYM_YEAST	53.579	461	527	0.0
sp|P38919|IF4A3_HUMAN	sp|Q12099|FAL1_YEAST	61.772	395	525	0.0
sp|P38919|IF4A3_HUMAN	sp|P10081|IF4A_YEAST	64.516	372	490	6.01e-175
sp|P38919|IF4A3_HUMAN	sp|P39517|DHH1_YEAST	40.650	369	300	8.35e-99
sp|P38919|IF4A3_HUMAN	sp|P20449|DBP5_YEAST	40.217	368	282	3.89e-92
sp|P38919|IF4A3_HUMAN	sp|Q07478|SUB2_YEAST	36.559	372	252	7.29e-81
sp|P38919|IF4A3_HUMAN	sp|P24783|DBP2_YEAST	35.092	379	228	1.09e-70
sp|P38919|IF4A3_HUMAN	sp|P06634|DED1_YEAST	34.684	395	220	4.74e-67
sp|P38919|IF4A3_HUMAN	sp|P38712|RRP3_YEAST	31.818	374	213	3.25e-65
sp|P38919|IF4A3_HUMAN	sp|P24784|DBP1_YEAST	34.359	390	213	2.59e-64
sp|P38919|IF4A3_HUMAN	sp|P20447|DBP3_YEAST	35.920	348	207	7.83e-63
sp|P38919|IF4A3_HUMAN	sp|P38719|DBP8_YEAST	32.105	380	200	4.49e-61
sp|P38919|IF4A3_HUMAN	sp|P32892|DRS1_YEAST	32.102	352	198	7.38e-58
sp|P38919|IF4A3_HUMAN	sp|P21372|PRP5_YEAST	30.986	355	183	4.06e-52
sp|P38919|IF4A3_HUMAN	sp|P23394|PRP28_YEAST	31.646	395	176	1.19e-50
sp|P38919|IF4A3_HUMAN	sp|P20448|DBP4_YEAST	29.923	391	174	4.82e-49
sp|P38919|IF4A3_HUMAN	sp|Q03532|HAS1_YEAST	28.960	404	167	5.40e-48
sp|P38919|IF4A3_HUMAN	sp|Q12389|DBP10_YEAST	25.296	423	169	3.68e-47
sp|P38919|IF4A3_HUMAN	sp|P25808|SPB4_YEAST	29.859	355	159	1.60e-44
sp|P38919|IF4A3_HUMAN	sp|P45818|ROK1_YEAST	30.682	352	145	1.51e-39
sp|P38919|IF4A3_HUMAN	sp|P38112|MAK5_YEAST	25.436	401	127	5.14e-33
sp|P38919|IF4A3_HUMAN	sp|P36120|DBP7_YEAST	27.407	405	120	1.55e-30
sp|P38919|IF4A3_HUMAN	sp|Q06218|DBP9_YEAST	27.914	326	110	2.65e-27
sp|P38919|IF4A3_HUMAN	sp|Q06218|DBP9_YEAST	45.455	44	53.9	5.14e-09
sp|P38919|IF4A3_HUMAN	sp|P35187|SGS1_YEAST	25.000	128	60.5	6.47e-11
sp|P38919|IF4A3_HUMAN	sp|P40562|MPH1_YEAST	30.435	115	55.8	1.81e-09
sp|P55786|PSA_HUMAN	sp|P37898|AAP1_YEAST	35.771	875	524	3.65e-174
sp|P55786|PSA_HUMAN	sp|P32454|APE2_YEAST	35.525	867	522	1.97e-172
sp|P55786|PSA_HUMAN	sp|Q10740|LKHA4_YEAST	25.159	314	81.6	5.20e-17
sp|P04035|HMDH_HUMAN	sp|P12683|HMDH1_YEAST	58.581	437	509	1.67e-166
sp|P04035|HMDH_HUMAN	sp|P12684|HMDH2_YEAST	57.931	435	504	1.08e-164
sp|Q9NSD9|SYFB_HUMAN	sp|P15624|SYFB_YEAST	45.649	609	517	1.26e-179
sp|P49411|EFTU_HUMAN	sp|P02992|EFTU_YEAST	62.025	395	516	0.0
sp|P49411|EFTU_HUMAN	sp|P02994|EF1A_YEAST	30.248	443	162	3.99e-46
sp|P49411|EFTU_HUMAN	sp|P05453|ERF3_YEAST	29.499	339	94.4	1.05e-21
sp|P49411|EFTU_HUMAN	sp|P32769|HBS1_YEAST	23.757	362	87.0	1.74e-19
sp|P49411|EFTU_HUMAN	sp|P32481|IF2G_YEAST	28.102	274	83.6	2.10e-18
sp|P49411|EFTU_HUMAN	sp|P46943|GUF1_YEAST	28.395	243	62.0	1.86e-11
sp|P49411|EFTU_HUMAN	sp|P39677|RRF2M_YEAST	26.786	168	57.0	9.06e-10
sp|P49411|EFTU_HUMAN	sp|P25038|IF2M_YEAST	26.271	236	55.5	2.58e-09
sp|P49411|EFTU_HUMAN	sp|P32324|EF2_YEAST	28.492	179	54.3	5.42e-09
sp|P49411|EFTU_HUMAN	sp|P25039|EFGM_YEAST	31.469	143	53.9	7.68e-09
sp|P49411|EFTU_HUMAN	sp|P53893|RIA1_YEAST	30.000	100	44.3	7.89e-06
sp|P42356|PI4KA_HUMAN	sp|P37297|STT4_YEAST	40.764	628	477	2.32e-139
sp|P42356|PI4KA_HUMAN	sp|P39104|PIK1_YEAST	35.688	269	167	9.38e-43
sp|P42356|PI4KA_HUMAN	sp|P22543|VPS34_YEAST	25.170	441	126	2.71e-30
sp|P42356|PI4KA_HUMAN	sp|P35169|TOR1_YEAST	23.469	196	50.8	6.58e-07
sp|P42356|PI4KA_HUMAN	sp|P32600|TOR2_YEAST	23.196	194	49.7	1.45e-06
sp|Q96RL7|VP13A_HUMAN	sp|Q07878|VPS13_YEAST	24.024	1307	293	3.27e-80
sp|Q96RL7|VP13A_HUMAN	sp|Q07878|VPS13_YEAST	29.193	483	199	7.47e-52
sp|Q96RL7|VP13A_HUMAN	sp|Q07878|VPS13_YEAST	22.206	689	67.8	6.57e-12
sp|P04424|ARLY_HUMAN	sp|P04076|ARLY_YEAST	54.212	463	515	0.0
sp|Q14683|SMC1A_HUMAN	sp|P32908|SMC1_YEAST	31.026	1286	505	1.69e-159
sp|Q14683|SMC1A_HUMAN	sp|P47037|SMC3_YEAST	23.799	1311	151	5.02e-38
sp|Q14683|SMC1A_HUMAN	sp|Q12267|SMC4_YEAST	43.671	158	140	9.37e-35
sp|Q14683|SMC1A_HUMAN	sp|P38989|SMC2_YEAST	27.053	207	70.1	3.95e-13
sp|Q16851|UGPA_HUMAN	sp|P32861|UGPA1_YEAST	55.696	474	514	0.0
sp|Q16851|UGPA_HUMAN	sp|P38709|UGPA2_YEAST	36.323	446	264	9.43e-84
sp|Q16851|UGPA_HUMAN	sp|P43123|UAP1_YEAST	23.125	160	44.3	6.90e-06
sp|Q92562|FIG4_HUMAN	sp|P42837|FIG4_YEAST	40.408	735	513	5.34e-170
sp|Q92562|FIG4_HUMAN	sp|P32368|SAC1_YEAST	26.448	518	161	1.48e-42
sp|Q92562|FIG4_HUMAN	sp|Q12271|INP53_YEAST	24.952	521	127	4.93e-31
sp|Q92562|FIG4_HUMAN	sp|P50942|INP52_YEAST	26.144	459	127	5.95e-31
sp|Q92562|FIG4_HUMAN	sp|P40559|INP51_YEAST	22.148	298	55.1	1.09e-08
sp|Q8N465|D2HDH_HUMAN	sp|P46681|DLD2_YEAST	53.183	487	511	2.92e-179
sp|Q8N465|D2HDH_HUMAN	sp|P39976|DLD3_YEAST	46.640	491	446	1.88e-154
sp|Q8N465|D2HDH_HUMAN	sp|P32891|DLD1_YEAST	27.854	438	165	7.61e-46
sp|Q13206|DDX10_HUMAN	sp|P20448|DBP4_YEAST	51.125	489	501	3.16e-167
sp|Q13206|DDX10_HUMAN	sp|Q03532|HAS1_YEAST	42.058	447	367	8.77e-119
sp|Q13206|DDX10_HUMAN	sp|P32892|DRS1_YEAST	36.620	355	230	1.17e-65
sp|Q13206|DDX10_HUMAN	sp|P38712|RRP3_YEAST	35.580	371	218	1.56e-63
sp|Q13206|DDX10_HUMAN	sp|P39517|DHH1_YEAST	34.582	347	199	2.21e-56
sp|Q13206|DDX10_HUMAN	sp|P38719|DBP8_YEAST	35.278	360	192	7.96e-55
sp|Q13206|DDX10_HUMAN	sp|P25808|SPB4_YEAST	29.778	450	196	8.57e-55
sp|Q13206|DDX10_HUMAN	sp|P24784|DBP1_YEAST	29.670	455	181	2.04e-49
sp|Q13206|DDX10_HUMAN	sp|P06634|DED1_YEAST	30.180	444	174	2.56e-47
sp|Q13206|DDX10_HUMAN	sp|P20447|DBP3_YEAST	35.260	346	173	3.01e-47
sp|Q13206|DDX10_HUMAN	sp|P36120|DBP7_YEAST	28.520	554	176	3.35e-47
sp|Q13206|DDX10_HUMAN	sp|P24783|DBP2_YEAST	32.275	378	172	6.21e-47
sp|Q13206|DDX10_HUMAN	sp|Q12099|FAL1_YEAST	29.211	380	162	1.06e-44
sp|Q13206|DDX10_HUMAN	sp|P38112|MAK5_YEAST	28.281	442	162	1.54e-42
sp|Q13206|DDX10_HUMAN	sp|P23394|PRP28_YEAST	27.540	443	153	2.71e-40
sp|Q13206|DDX10_HUMAN	sp|Q12389|DBP10_YEAST	37.850	214	154	1.47e-39
sp|Q13206|DDX10_HUMAN	sp|Q12389|DBP10_YEAST	30.822	146	66.6	2.48e-12
sp|Q13206|DDX10_HUMAN	sp|P21372|PRP5_YEAST	27.013	385	152	4.33e-39
sp|Q13206|DDX10_HUMAN	sp|Q07478|SUB2_YEAST	28.792	389	145	1.37e-38
sp|Q13206|DDX10_HUMAN	sp|P20449|DBP5_YEAST	30.252	357	142	4.99e-37
sp|Q13206|DDX10_HUMAN	sp|P10081|IF4A_YEAST	29.462	353	137	6.40e-36
sp|Q13206|DDX10_HUMAN	sp|P45818|ROK1_YEAST	31.921	354	140	6.78e-36
sp|Q13206|DDX10_HUMAN	sp|Q06218|DBP9_YEAST	28.571	336	115	6.85e-28
sp|Q13206|DDX10_HUMAN	sp|Q06218|DBP9_YEAST	46.809	47	53.9	1.60e-08
sp|Q13823|NOG2_HUMAN	sp|P53742|NOG2_YEAST	55.856	444	504	2.50e-174
sp|Q13823|NOG2_HUMAN	sp|P53145|LSG1_YEAST	32.353	170	89.7	9.75e-20
sp|Q13823|NOG2_HUMAN	sp|P53145|LSG1_YEAST	31.250	80	56.2	2.66e-09
sp|P50395|GDIB_HUMAN	sp|P39958|GDI1_YEAST	56.351	433	509	0.0
sp|Q9P1U1|ARP3B_HUMAN	sp|P47117|ARP3_YEAST	57.461	449	488	4.16e-173
sp|Q9P1U1|ARP3B_HUMAN	sp|P60010|ACT_YEAST	34.211	418	257	9.70e-84
sp|Q9P1U1|ARP3B_HUMAN	sp|P32381|ARP2_YEAST	32.346	405	206	6.52e-64
sp|Q9P1U1|ARP3B_HUMAN	sp|P38696|ARP1_YEAST	30.827	399	191	5.43e-58
sp|Q9UBF2|COPG2_HUMAN	sp|P32074|COPG_YEAST	35.412	898	490	6.11e-161
sp|P62714|PP2AB_HUMAN	sp|P23595|PP2A2_YEAST	75.828	302	506	0.0
sp|P62714|PP2AB_HUMAN	sp|P23594|PP2A1_YEAST	75.166	302	505	0.0
sp|P62714|PP2AB_HUMAN	sp|P20604|PP11_YEAST	58.033	305	387	3.06e-137
sp|P62714|PP2AB_HUMAN	sp|P32838|PP2A4_YEAST	56.040	298	353	4.87e-123
sp|P62714|PP2AB_HUMAN	sp|P32345|PP4C_YEAST	52.288	306	349	2.58e-122
sp|P62714|PP2AB_HUMAN	sp|P32598|PP12_YEAST	49.084	273	294	1.51e-100
sp|P62714|PP2AB_HUMAN	sp|P26570|PPZ1_YEAST	47.037	270	258	3.08e-82
sp|P62714|PP2AB_HUMAN	sp|P33329|PPZ2_YEAST	45.556	270	251	3.17e-79
sp|P62714|PP2AB_HUMAN	sp|P32945|PPQ1_YEAST	41.729	266	237	1.63e-75
sp|P62714|PP2AB_HUMAN	sp|P23287|PP2B1_YEAST	36.860	293	205	3.34e-63
sp|P62714|PP2AB_HUMAN	sp|P14747|PP2B2_YEAST	35.161	310	197	1.07e-59
sp|P62714|PP2AB_HUMAN	sp|P53043|PPP5_YEAST	37.594	266	192	8.83e-59
sp|O75691|UTP20_HUMAN	sp|P35194|UTP20_YEAST	22.682	2125	402	8.49e-114
sp|O75691|UTP20_HUMAN	sp|P35194|UTP20_YEAST	27.198	364	127	4.29e-30
sp|P30837|AL1B1_HUMAN	sp|P46367|ALDH4_YEAST	50.398	502	504	8.66e-177
sp|P30837|AL1B1_HUMAN	sp|P40047|ALDH5_YEAST	46.498	514	470	1.34e-163
sp|P30837|AL1B1_HUMAN	sp|P47771|ALDH2_YEAST	46.502	486	441	4.63e-152
sp|P30837|AL1B1_HUMAN	sp|P54115|ALDH6_YEAST	46.559	494	440	6.19e-152
sp|P30837|AL1B1_HUMAN	sp|P54114|ALDH3_YEAST	46.058	482	434	1.43e-149
sp|P30837|AL1B1_HUMAN	sp|P38067|SSDH_YEAST	37.090	488	307	3.05e-100
sp|P30837|AL1B1_HUMAN	sp|P07275|PUT2_YEAST	26.694	487	135	1.76e-35
sp|P30837|AL1B1_HUMAN	sp|Q04458|HFD1_YEAST	25.664	339	85.5	8.03e-19
sp|Q9Y295|DRG1_HUMAN	sp|P39729|RBG1_YEAST	65.041	369	486	1.64e-174
sp|Q9Y295|DRG1_HUMAN	sp|P53295|RBG2_YEAST	51.648	364	367	2.42e-127
sp|Q9Y295|DRG1_HUMAN	sp|Q02892|NOG1_YEAST	28.409	88	44.7	3.81e-06
sp|P40692|MLH1_HUMAN	sp|P38920|MLH1_YEAST	36.683	796	491	1.33e-164
sp|P40692|MLH1_HUMAN	sp|P14242|PMS1_YEAST	29.769	346	149	1.73e-38
sp|P30520|PURA2_HUMAN	sp|P80210|PURA_YEAST	56.845	431	502	3.23e-178
sp|Q8TDD1|DDX54_HUMAN	sp|Q12389|DBP10_YEAST	37.643	789	494	1.97e-161
sp|Q8TDD1|DDX54_HUMAN	sp|P32892|DRS1_YEAST	41.160	362	256	9.60e-75
sp|Q8TDD1|DDX54_HUMAN	sp|P38712|RRP3_YEAST	37.696	382	235	1.61e-69
sp|Q8TDD1|DDX54_HUMAN	sp|P39517|DHH1_YEAST	32.520	369	204	2.87e-58
sp|Q8TDD1|DDX54_HUMAN	sp|P21372|PRP5_YEAST	34.021	388	205	2.03e-56
sp|Q8TDD1|DDX54_HUMAN	sp|P06634|DED1_YEAST	31.830	377	201	3.37e-56
sp|Q8TDD1|DDX54_HUMAN	sp|P24784|DBP1_YEAST	32.133	361	195	2.94e-54
sp|Q8TDD1|DDX54_HUMAN	sp|P38719|DBP8_YEAST	35.854	357	190	4.65e-54
sp|Q8TDD1|DDX54_HUMAN	sp|Q12099|FAL1_YEAST	31.720	372	189	7.17e-54
sp|Q8TDD1|DDX54_HUMAN	sp|P20447|DBP3_YEAST	35.928	334	191	1.66e-53
sp|Q8TDD1|DDX54_HUMAN	sp|Q03532|HAS1_YEAST	31.579	361	186	4.41e-52
sp|Q8TDD1|DDX54_HUMAN	sp|P24783|DBP2_YEAST	29.723	397	185	2.54e-51
sp|Q8TDD1|DDX54_HUMAN	sp|P20448|DBP4_YEAST	32.249	369	185	4.63e-50
sp|Q8TDD1|DDX54_HUMAN	sp|P23394|PRP28_YEAST	31.445	353	167	9.38e-45
sp|Q8TDD1|DDX54_HUMAN	sp|P25808|SPB4_YEAST	31.347	386	166	2.45e-44
sp|Q8TDD1|DDX54_HUMAN	sp|P10081|IF4A_YEAST	31.347	386	161	2.55e-44
sp|Q8TDD1|DDX54_HUMAN	sp|P20449|DBP5_YEAST	30.056	356	159	1.03e-42
sp|Q8TDD1|DDX54_HUMAN	sp|P45818|ROK1_YEAST	30.931	333	151	1.03e-39
sp|Q8TDD1|DDX54_HUMAN	sp|Q07478|SUB2_YEAST	30.052	386	145	1.37e-38
sp|Q8TDD1|DDX54_HUMAN	sp|P38112|MAK5_YEAST	26.619	417	136	4.11e-34
sp|Q8TDD1|DDX54_HUMAN	sp|P36120|DBP7_YEAST	29.622	476	132	5.16e-33
sp|Q8TDD1|DDX54_HUMAN	sp|Q06218|DBP9_YEAST	25.949	316	99.8	7.55e-23
sp|Q8TDD1|DDX54_HUMAN	sp|Q06218|DBP9_YEAST	44.681	47	52.4	6.15e-08
sp|P46087|NOP2_HUMAN	sp|P40991|NOP2_YEAST	62.254	355	496	3.79e-168
sp|P46087|NOP2_HUMAN	sp|P38205|NCL1_YEAST	27.163	416	119	4.87e-29
sp|P30613|KPYR_HUMAN	sp|P52489|KPYK2_YEAST	49.804	510	487	1.95e-169
sp|P30613|KPYR_HUMAN	sp|P00549|KPYK1_YEAST	49.898	489	484	2.49e-168
sp|Q9BSC4|NOL10_HUMAN	sp|P48234|NOL10_YEAST	40.762	682	472	3.83e-159
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q05471|SWR1_YEAST	56.658	383	485	5.89e-143
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q05471|SWR1_YEAST	58.984	256	330	1.07e-92
sp|Q6ZRS2|SRCAP_HUMAN	sp|P53115|INO80_YEAST	45.732	328	319	3.85e-89
sp|Q6ZRS2|SRCAP_HUMAN	sp|P53115|INO80_YEAST	52.980	151	188	1.46e-48
sp|Q6ZRS2|SRCAP_HUMAN	sp|P22082|SNF2_YEAST	41.935	310	268	5.42e-73
sp|Q6ZRS2|SRCAP_HUMAN	sp|P22082|SNF2_YEAST	49.425	174	179	9.89e-46
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32597|STH1_YEAST	39.368	348	256	7.34e-70
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32597|STH1_YEAST	51.282	156	175	1.13e-44
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q08773|ISW2_YEAST	41.066	319	244	1.54e-66
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q08773|ISW2_YEAST	46.154	156	168	8.36e-43
sp|Q6ZRS2|SRCAP_HUMAN	sp|P38144|ISW1_YEAST	42.525	301	240	3.72e-65
sp|Q6ZRS2|SRCAP_HUMAN	sp|P38144|ISW1_YEAST	51.471	136	160	3.00e-40
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32657|CHD1_YEAST	35.380	342	221	9.95e-59
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32657|CHD1_YEAST	50.633	158	162	1.01e-40
sp|Q6ZRS2|SRCAP_HUMAN	sp|P43610|IRC5_YEAST	41.241	274	213	1.58e-57
sp|Q6ZRS2|SRCAP_HUMAN	sp|P43610|IRC5_YEAST	49.032	155	155	3.50e-39
sp|Q6ZRS2|SRCAP_HUMAN	sp|P31380|FUN30_YEAST	32.749	342	186	2.58e-48
sp|Q6ZRS2|SRCAP_HUMAN	sp|P31380|FUN30_YEAST	41.279	172	140	3.68e-34
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32333|BTAF1_YEAST	33.333	321	170	6.19e-43
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32333|BTAF1_YEAST	42.308	156	136	1.01e-32
sp|Q6ZRS2|SRCAP_HUMAN	sp|P40352|RAD26_YEAST	30.904	343	145	1.55e-35
sp|Q6ZRS2|SRCAP_HUMAN	sp|P40352|RAD26_YEAST	34.884	258	142	6.46e-35
sp|Q6ZRS2|SRCAP_HUMAN	sp|P38086|RDH54_YEAST	32.444	225	123	6.40e-29
sp|Q6ZRS2|SRCAP_HUMAN	sp|P38086|RDH54_YEAST	26.821	302	111	2.15e-25
sp|Q6ZRS2|SRCAP_HUMAN	sp|P31244|RAD16_YEAST	26.415	371	119	4.84e-28
sp|Q6ZRS2|SRCAP_HUMAN	sp|P31244|RAD16_YEAST	35.417	144	88.2	3.07e-18
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32863|RAD54_YEAST	29.110	292	115	1.00e-26
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32863|RAD54_YEAST	34.706	170	114	3.96e-26
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q08562|ULS1_YEAST	29.191	346	101	4.89e-22
sp|Q6ZRS2|SRCAP_HUMAN	sp|Q08562|ULS1_YEAST	35.766	137	97.1	9.87e-21
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32849|RAD5_YEAST	34.641	153	92.0	2.45e-19
sp|Q6ZRS2|SRCAP_HUMAN	sp|P32849|RAD5_YEAST	23.602	483	72.8	1.68e-13
sp|Q96KP4|CNDP2_HUMAN	sp|P43616|DUG1_YEAST	51.688	474	493	8.10e-174
sp|P50990|TCPQ_HUMAN	sp|P47079|TCPQ_YEAST	45.694	569	493	2.34e-171
sp|P50990|TCPQ_HUMAN	sp|P12612|TCPA_YEAST	28.339	554	211	2.49e-62
sp|P50990|TCPQ_HUMAN	sp|P40413|TCPE_YEAST	27.725	523	210	4.20e-62
sp|P50990|TCPQ_HUMAN	sp|P39078|TCPD_YEAST	27.660	517	207	2.08e-61
sp|P50990|TCPQ_HUMAN	sp|P42943|TCPH_YEAST	28.996	538	205	2.66e-60
sp|P50990|TCPQ_HUMAN	sp|P39077|TCPG_YEAST	28.350	515	195	9.76e-57
sp|P50990|TCPQ_HUMAN	sp|P39076|TCPB_YEAST	28.455	492	178	1.11e-50
sp|P50990|TCPQ_HUMAN	sp|P39079|TCPZ_YEAST	23.585	530	135	2.64e-35
