Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
P06208	reviewed	LEU1_YEAST	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	LEU4 YNL104C N2173	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	619	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; 2-isopropylmalate synthase activity [GO:0003852]; metal ion binding [GO:0046872]; L-leucine biosynthetic process [GO:0009098]	GO:0003852; GO:0005737; GO:0005739; GO:0009098; GO:0046872
P06242	reviewed	KIN28_YEAST	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	KIN28 YDL108W D2330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; RNA polymerase II CTD heptapeptide repeat S2 kinase activity [GO:0140834]; RNA polymerase II CTD heptapeptide repeat S5 kinase activity [GO:0140836]; RNA polymerase II CTD heptapeptide repeat S7 kinase activity [GO:0140837]; RNA polymerase II CTD heptapeptide repeat T4 kinase activity [GO:0140835]; RNA polymerase II CTD heptapeptide repeat Y1 kinase activity [GO:0140833]; 7-methylguanosine mRNA capping [GO:0006370]; cell division [GO:0051301]; cellular response to nitrogen starvation [GO:0006995]; nucleotide-excision repair [GO:0006289]; positive regulation of Atg1/ULK1 kinase complex assembly [GO:1905866]; positive regulation of autophagy [GO:0010508]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of cell cycle [GO:0051726]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]	GO:0004672; GO:0004693; GO:0005524; GO:0005634; GO:0005675; GO:0005737; GO:0005829; GO:0006289; GO:0006360; GO:0006366; GO:0006367; GO:0006370; GO:0006995; GO:0008353; GO:0010508; GO:0032968; GO:0045944; GO:0051301; GO:0051726; GO:0070985; GO:0140833; GO:0140834; GO:0140835; GO:0140836; GO:0140837; GO:1905866
P06243	reviewed	CDC7_YEAST	Cell division control protein 7 (EC 2.7.11.1)	CDC7 OAF2 YDL017W D2855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507	centrosome [GO:0005813]; chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; Dbf4-dependent protein kinase complex [GO:0031431]; nucleus [GO:0005634]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; cell division [GO:0051301]; DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic DNA replication preinitiation complex assembly [GO:1902977]; negative regulation of exit from mitosis [GO:0001100]; positive regulation of kinetochore assembly [GO:1905561]; positive regulation of meiosis I [GO:0060903]; positive regulation of meiotic DNA double-strand break formation [GO:1903343]; positive regulation of meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:1905263]; positive regulation of protein localization to kinetochore [GO:1905342]; positive regulation of spindle attachment to meiosis I kinetochore [GO:1904968]; premeiotic DNA replication [GO:0006279]; protein-containing complex localization [GO:0031503]; signal transduction [GO:0007165]	GO:0000727; GO:0000775; GO:0000785; GO:0001100; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0006270; GO:0006279; GO:0007165; GO:0031431; GO:0031503; GO:0033314; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0042802; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0046872; GO:0051301; GO:0060903; GO:0072354; GO:0072371; GO:0072518; GO:0106310; GO:0140823; GO:0140855; GO:0140857; GO:1902977; GO:1903343; GO:1904968; GO:1905263; GO:1905342; GO:1905561; GO:1990244
P06244	reviewed	KAPA_YEAST	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	TPK1 PKA1 SRA3 YJL164C J0541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; cell division [GO:0051301]; double-strand break repair via nonhomologous end joining [GO:0006303]; negative regulation of cytoplasmic mRNA processing body assembly [GO:0010607]; protein import into nucleus [GO:0006606]; protein kinase A signaling [GO:0010737]; Ras protein signal transduction [GO:0007265]; regulation of macroautophagy [GO:0016241]; signal transduction [GO:0007165]	GO:0000785; GO:0004672; GO:0004691; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005952; GO:0006303; GO:0006606; GO:0007165; GO:0007265; GO:0010607; GO:0010737; GO:0016241; GO:0051301; GO:0106310
P06245	reviewed	KAPB_YEAST	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	TPK2 PKA2 YKR1 YPL203W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; cellular response to glucose stimulus [GO:0071333]; G1 to G0 transition [GO:0070314]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of cytoplasmic mRNA processing body assembly [GO:0010607]; negative regulation of cytoplasmic translation [GO:2000766]; protein kinase A signaling [GO:0010737]; Ras protein signal transduction [GO:0007265]; signal transduction [GO:0007165]	GO:0000785; GO:0000932; GO:0001403; GO:0004672; GO:0004691; GO:0005524; GO:0005634; GO:0005829; GO:0005952; GO:0007165; GO:0007265; GO:0010607; GO:0010737; GO:0070314; GO:0071333; GO:0106310; GO:2000766
P06367	reviewed	RS14A_YEAST	Small ribosomal subunit protein uS11A (40S ribosomal protein S14-A) (RP59A)	RPS14A CRY1 RPL59 YCR031C YCR31C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	137	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	GO:0000028; GO:0000462; GO:0002181; GO:0003729; GO:0003735; GO:0005654; GO:0005730; GO:0005829; GO:0006412; GO:0022627; GO:0030686; GO:0032040
P06634	reviewed	DED1_YEAST	ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1) (Defines essential domain protein 1)	DED1 SPP81 YOR204W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	604	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; eukaryotic initiation factor 4G binding [GO:0031370]; G-quadruplex DNA binding [GO:0051880]; G-quadruplex RNA binding [GO:0002151]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; translation initiation factor activity [GO:0003743]; positive regulation of formation of translation preinitiation complex [GO:1901195]; spliceosomal complex disassembly [GO:0000390]; translational initiation [GO:0006413]	GO:0000390; GO:0002151; GO:0003724; GO:0003729; GO:0003743; GO:0005524; GO:0005634; GO:0005737; GO:0006413; GO:0010494; GO:0016887; GO:0031370; GO:0033592; GO:0051880; GO:1901195
P06700	reviewed	SIR2_YEAST	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	SIR2 MAR1 YDL042C D2714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562	chromatin silencing complex [GO:0005677]; chromosome, telomeric region [GO:0000781]; heterochromatin [GO:0000792]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RENT complex [GO:0030869]; DNA replication origin binding [GO:0003688]; histone deacetylase activity, NAD-dependent [GO:0017136]; histone H3K14 deacetylase activity, NAD-dependent [GO:0032041]; histone H3K18 deacetylase activity, NAD-dependent [GO:0097372]; histone H3K4 deacetylase activity, NAD-dependent [GO:0141222]; histone H3K56 deacetylase activity, NAD-dependent [GO:0140765]; histone H3K9 deacetylase activity, NAD-dependent [GO:0046969]; histone H4K16 deacetylase activity, NAD-dependent [GO:0046970]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; chromatin organization [GO:0006325]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of protein-containing complex localization to telomere [GO:0097695]; heterochromatin formation [GO:0031507]; negative regulation of DNA amplification [GO:1904524]; negative regulation of DNA recombination [GO:0045910]; negative regulation of DNA replication [GO:0008156]; rDNA heterochromatin formation [GO:0000183]; regulation of DNA stability [GO:0097752]; regulation of mating type switching [GO:0031494]; regulatory ncRNA-mediated gene silencing [GO:0031047]; silent mating-type cassette heterochromatin formation [GO:0030466]; sister chromatid cohesion [GO:0007062]; subtelomeric heterochromatin formation [GO:0031509]; telomere tethering at nuclear periphery [GO:0034398]	GO:0000183; GO:0000781; GO:0000792; GO:0003688; GO:0005634; GO:0005677; GO:0005730; GO:0006303; GO:0006325; GO:0007062; GO:0008156; GO:0017136; GO:0030466; GO:0030869; GO:0031047; GO:0031494; GO:0031507; GO:0031509; GO:0032041; GO:0034398; GO:0045910; GO:0046872; GO:0046969; GO:0046970; GO:0070403; GO:0097372; GO:0097695; GO:0097752; GO:0140765; GO:0141222; GO:1904524
P06701	reviewed	SIR3_YEAST	Regulatory protein SIR3 (Silent information regulator 3)	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	978	chromatin silencing complex [GO:0005677]; chromosome, telomeric region [GO:0000781]; heterochromatin [GO:0000792]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; nucleosome binding [GO:0031491]; single-stranded DNA binding [GO:0003697]; DNA replication initiation [GO:0006270]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of protein-containing complex localization to telomere [GO:0097695]; heterochromatin formation [GO:0031507]; mitotic DNA replication checkpoint signaling [GO:0033314]; negative regulation of DNA replication [GO:0008156]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; silent mating-type cassette heterochromatin formation [GO:0030466]; subtelomeric heterochromatin formation [GO:0031509]; telomere tethering at nuclear periphery [GO:0034398]	GO:0000781; GO:0000792; GO:0003676; GO:0003682; GO:0003688; GO:0003690; GO:0003697; GO:0005677; GO:0005730; GO:0005739; GO:0006270; GO:0006303; GO:0008156; GO:0030466; GO:0031491; GO:0031507; GO:0031509; GO:0033314; GO:0034398; GO:0042802; GO:0070481; GO:0097695
P06704	reviewed	CDC31_YEAST	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	CDC31 DSK1 YOR257W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161	cytoplasm [GO:0005737]; half bridge of spindle pole body [GO:0005825]; mitotic spindle pole body [GO:0044732]; nuclear envelope [GO:0005635]; transcription export complex 2 [GO:0070390]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; cell division [GO:0051301]; Golgi vesicle transport [GO:0048193]; microtubule cytoskeleton organization [GO:0000226]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; spindle pole body duplication [GO:0030474]	GO:0000226; GO:0005509; GO:0005635; GO:0005737; GO:0005825; GO:0006406; GO:0008017; GO:0030474; GO:0042802; GO:0043161; GO:0044732; GO:0045944; GO:0048193; GO:0051301; GO:0070390
P06738	reviewed	PHSG_YEAST	Glycogen phosphorylase (EC 2.4.1.1)	GPH1 YPR160W P9584.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	902	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; pyridoxal phosphate binding [GO:0030170]; glycogen catabolic process [GO:0005980]	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0031220
P06774	reviewed	HAP2_YEAST	Transcriptional activator HAP2	HAP2 YGL237C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	265	CCAAT-binding factor complex [GO:0016602]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of carbohydrate metabolic process [GO:0006109]; regulation of cellular respiration [GO:0043457]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000981; GO:0003677; GO:0005634; GO:0006109; GO:0006355; GO:0006357; GO:0016602; GO:0043457; GO:0045944
P06777	reviewed	RAD1_YEAST	DNA repair protein RAD1	RAD1 YPL022W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1100	endonuclease complex [GO:1905348]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; DNA endonuclease activity [GO:0004520]; single-stranded DNA binding [GO:0003697]; DNA amplification [GO:0006277]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via single-strand annealing, removal of nonhomologous ends [GO:0000736]; meiotic mismatch repair [GO:0000710]; mitotic recombination [GO:0006312]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; removal of nonhomologous ends [GO:0000735]; resolution of meiotic recombination intermediates [GO:0000712]	GO:0000110; GO:0000710; GO:0000712; GO:0000715; GO:0000724; GO:0000735; GO:0000736; GO:0003684; GO:0003697; GO:0004520; GO:0005634; GO:0006277; GO:0006289; GO:0006312; GO:1901255; GO:1905348
P06778	reviewed	RAD52_YEAST	DNA repair and recombination protein RAD52	RAD52 YML032C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	471	mitochondrion [GO:0005739]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; DNA strand exchange activity [GO:0000150]; DNA/DNA annealing activity [GO:1990814]; DNA amplification [GO:0006277]; DNA recombinase assembly [GO:0000730]; double-strand break repair via break-induced replication [GO:0000727]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via single-strand annealing [GO:0045002]; meiotic joint molecule formation [GO:0000709]; mitochondrial DNA repair [GO:0043504]; mitotic recombination [GO:0006312]; postreplication repair [GO:0006301]; telomere maintenance via recombination [GO:0000722]	GO:0000150; GO:0000228; GO:0000709; GO:0000722; GO:0000724; GO:0000727; GO:0000730; GO:0005634; GO:0005739; GO:0006277; GO:0006301; GO:0006312; GO:0043504; GO:0045002; GO:1990814
P06779	reviewed	RAD7_YEAST	DNA repair protein RAD7	RAD7 YJR052W J1665	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	565	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; nucleotide-excision repair factor 4 complex [GO:0000113]; global genome nucleotide-excision repair [GO:0070911]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; protein localization [GO:0008104]; response to UV [GO:0009411]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000113; GO:0000715; GO:0005737; GO:0006511; GO:0008104; GO:0009411; GO:0031463; GO:0070911
P06780	reviewed	RHO1_YEAST	GTP-binding protein RHO1 (EC 3.6.5.2) (Rho-type GTPase 1)	RHO1 YPR165W P9325.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209	1,3-beta-D-glucan synthase complex [GO:0000148]; cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; fungal-type cell wall [GO:0009277]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; spore wall [GO:0031160]; enzyme activator activity [GO:0008047]; G-protein beta-subunit binding [GO:0031681]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; (1->3)-beta-D-glucan biosynthetic process [GO:0006075]; actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; ascospore wall assembly [GO:0030476]; budding cell bud growth [GO:0007117]; cellular bud neck septin ring organization [GO:0032186]; fungal-type cell wall biogenesis [GO:0009272]; positive regulation of endocytosis [GO:0045807]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell size [GO:0008361]; regulation of cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0090334]; regulation of exocyst localization [GO:0060178]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of protein localization [GO:0032880]; regulation of secondary cell septum biogenesis [GO:1903395]; regulation of vacuole fusion, non-autophagic [GO:0032889]; signal transduction [GO:0007165]; small GTPase-mediated signal transduction [GO:0007264]	GO:0000131; GO:0000148; GO:0000329; GO:0003924; GO:0005525; GO:0005739; GO:0005741; GO:0005777; GO:0005778; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005933; GO:0005934; GO:0005935; GO:0006075; GO:0007015; GO:0007117; GO:0007165; GO:0007264; GO:0008047; GO:0008361; GO:0009272; GO:0009277; GO:0010008; GO:0016020; GO:0019901; GO:0030036; GO:0030476; GO:0031160; GO:0031681; GO:0032186; GO:0032880; GO:0032889; GO:0032956; GO:0043332; GO:0045807; GO:0060178; GO:0060237; GO:0071944; GO:0090334; GO:1903395; GO:1903501
P06781	reviewed	RHO2_YEAST	GTP-binding protein RHO2 (EC 3.6.5.2)	RHO2 YNL090W N2237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	192	cell periphery [GO:0071944]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; actin filament organization [GO:0007015]; establishment of cell polarity [GO:0030010]; fungal-type cell wall organization [GO:0031505]; microtubule-based process [GO:0007017]; regulation of actin cytoskeleton organization [GO:0032956]; signal transduction [GO:0007165]; small GTPase-mediated signal transduction [GO:0007264]	GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0007015; GO:0007017; GO:0007165; GO:0007264; GO:0016020; GO:0019901; GO:0030010; GO:0031505; GO:0032956; GO:0071944
P06782	reviewed	SNF1_YEAST	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633	cellular bud neck septin ring [GO:0000144]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nuclear envelope lumen [GO:0005641]; nuclear membrane [GO:0031965]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; vacuolar membrane [GO:0005774]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; guanyl-nucleotide exchange factor activity [GO:0005085]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; identical protein binding [GO:0042802]; molecular function activator activity [GO:0140677]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; cellular response to glucose starvation [GO:0042149]; cellular response to stress [GO:0033554]; establishment of mitotic spindle orientation [GO:0000132]; filamentous growth [GO:0030447]; fungal-type cell wall assembly [GO:0071940]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of inositol phosphate biosynthetic process [GO:0010920]; negative regulation of translation [GO:0017148]; positive regulation of filamentous growth of a population of unicellular organisms in response to starvation [GO:1900436]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of macroautophagy [GO:0016239]; positive regulation of pseudohyphal growth [GO:2000222]; regulation of cellular response to glucose starvation [GO:1904547]; regulation of invasive growth in response to glucose limitation [GO:2000217]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]; single-species surface biofilm formation [GO:0090606]	GO:0000132; GO:0000144; GO:0001403; GO:0004672; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005085; GO:0005524; GO:0005634; GO:0005641; GO:0005737; GO:0005739; GO:0005774; GO:0006986; GO:0010920; GO:0016239; GO:0017148; GO:0030447; GO:0031588; GO:0031965; GO:0033554; GO:0034976; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0042149; GO:0042802; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0045722; GO:0071940; GO:0072354; GO:0072371; GO:0072518; GO:0090606; GO:0106310; GO:0140677; GO:0140823; GO:0140855; GO:0140857; GO:1900436; GO:1904547; GO:1990244; GO:2000217; GO:2000222
P06784	reviewed	STE7_YEAST	Serine/threonine-protein kinase STE7 (EC 2.7.12.2)	STE7 YDL159W D1525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; cell integrity MAPK cascade [GO:0000196]; invasive growth in response to glucose limitation [GO:0001403]; MAPK cascade [GO:0000165]; pheromone response MAPK cascade [GO:0071507]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; pseudohyphal growth [GO:0007124]; response to pheromone triggering conjugation with cellular fusion [GO:0000749]; signal transduction involved in filamentous growth [GO:0001402]	GO:0000165; GO:0000196; GO:0000749; GO:0000750; GO:0001402; GO:0001403; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005737; GO:0007124; GO:0043332; GO:0071507; GO:0106310
P06785	reviewed	TYSY_YEAST	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9)	CDC21 CRT9 TMP1 YOR074C YOR29-25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; thymidylate synthase activity [GO:0004799]; dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]	GO:0004799; GO:0005739; GO:0005829; GO:0006231; GO:0006235; GO:0032259; GO:0034399
P06786	reviewed	TOP2_YEAST	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)	TOP2 TOR3 YNL088W N2244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1428	DNA replication termination region [GO:0097047]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; chromatin organization [GO:0006325]; chromatin remodeling at centromere [GO:0031055]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA topological change [GO:0006265]; reciprocal meiotic recombination [GO:0007131]; regulation of mitotic recombination [GO:0000019]; replication fork progression beyond termination site [GO:0097046]; resolution of meiotic recombination intermediates [GO:0000712]; rRNA transcription [GO:0009303]; sister chromatid segregation [GO:0000819]; telomere maintenance via recombination [GO:0000722]	GO:0000019; GO:0000712; GO:0000722; GO:0000795; GO:0000819; GO:0003677; GO:0003918; GO:0005524; GO:0005634; GO:0005739; GO:0006265; GO:0006271; GO:0006325; GO:0007131; GO:0009303; GO:0031055; GO:0034335; GO:0042802; GO:0046872; GO:0097046; GO:0097047
