From	To
P33892	4932.YGL195W
P33895	4932.YOL069W
P34077	4932.YFR002W
P34078	4932.YKL143W
P34087	4932.YDR404C
P34110	4932.YJL154C
P34111	4932.YAL001C
P34160	4932.YMR125W
P34161	4932.YML027W
P34162	4932.YHR041C
P34163	4932.YKL140W
P34164	4932.YGL208W
P34167	4932.YPR163C
P34216	4932.YBL047C
P34217	4932.YBL051C
P34218	4932.YBL052C
P34219	4932.YBL054W
P34221	4932.YBL056W
P34223	4932.YBL058W
P34225	4932.YBL060W
P34226	4932.YBL061C
P34227	4932.YBL064C
P34230	4932.YKL188C
P34233	4932.YKL185W
P34241	4932.YKL014C
P34243	4932.YKL017C
P34244	4932.YKL101W
P34247	4932.YKL099C
P34252	4932.YKL108W
P34730	4932.YDR099W
P34756	4932.YFR019W
P34758	4932.YOR329C
P34760	4932.YML028W
P34761	4932.YNL197C
P34909	4932.YER068W
P35056	4932.YDR244W
P35169	4932.YJR066W
P35177	4932.YBR081C
P35179	4932.YDR086C
P35180	4932.YGR082W
P35181	4932.YLR170C
P35182	4932.YDL006W
P35187	4932.YMR190C
P35189	4932.YPL129W
P35191	4932.YFL016C
P35192	4932.YMR021C
P35193	4932.YOL082W
P35194	4932.YBL004W
P35196	4932.YBR002C
P35197	4932.YDL226C
P35200	4932.YLR168C
P35201	4932.YKL089W
P35203	4932.YMR094W
P35206	4932.YBR036C
P35207	4932.YLR398C
P35208	4932.YJL127C
P35688	4932.YDL240W
P35691	4932.YKL056C
P35718	4932.YKL144C
P35728	4932.YKL059C
P35729	4932.YKL057C
P35732	4932.YKL054C
P35734	4932.YKL052C
P35817	4932.YLR399C
P35843	4932.YOR237W
P35844	4932.YPL145C
P35845	4932.YAR042W
P35997	4932.YKL156W
P35999	4932.YKL134C
P36000	4932.YKL135C
P36002	4932.YKL198C
P36003	4932.YKL171W
P36004	4932.YKL168C
P36005	4932.YKL161C
P36006	4932.YKL129C
P36007	4932.YKL218C
P36009	4932.YKL078W
P36010	4932.YKL067W
P36012	4932.YKL049C
P36013	4932.YKL029C
P36014	4932.YKL026C
P36015	4932.YKL196C
P36016	4932.YKL073W
P36017	4932.YOR089C
P36018	4932.YKR014C
P36022	4932.YKR054C
P36024	4932.YKR072C
P36027	4932.YLR332W
P36033	4932.YKL220C
P36035	4932.YKL217W
P36037	4932.YKL213C
P36041	4932.YKL204W
P36044	4932.YKL201C
P36046	4932.YKL195W
P36047	4932.YKL193C
P36048	4932.YKL173W
P36049	4932.YKL172W
P36051	4932.YKL165C
P36056	4932.YKL155C
P36057	4932.YKL154W
P36060	4932.YKL150W
P36068	4932.YKL130C
P36075	4932.YKL090W
P36076	4932.YKL088W
P36077	4932.YKL086W
P36080	4932.YKL082C
P36081	4932.YKL077W
P36084	4932.YKL074C
P36088	4932.YKL069W
P36091	4932.YKL046C
P36094	4932.YKL042W
P36095	4932.YKL041W
P36096	4932.YKL034W
P36100	4932.YKL028W
P36102	4932.YKL025C
P36104	4932.YKL018W
P36105	4932.YKL006W
P36107	4932.YKL004W
P36108	4932.YKL002W
P36112	4932.YKR016W
P36113	4932.YKR017C
P36116	4932.YKR020W
P36117	4932.YKR021W
P36119	4932.YKR023W
P36122	4932.YKR027W
P36123	4932.YKR028W
P36124	4932.YKR029C
P36126	4932.YKR031C
P36130	4932.YKR036C
P36131	4932.YKR037C
P36132	4932.YKR038C
P36135	4932.YKR042W
P36136	4932.YKR043C
P36142	4932.YKR051W
P36143	4932.YKR058W
P36146	4932.YKR063C
P36148	4932.YKR067W
P36149	4932.YKR068C
P36152	4932.YKR071C
P36156	4932.YKR076W
P36160	4932.YKR081C
P36161	4932.YKR082W
P36162	4932.YKR083C
P36163	4932.YKR087C
P36165	4932.YKR089C
P36170	4932.YKR102W
P36421	4932.YGR185C
P36531	4932.YBR122C
P36775	4932.YBL022C
P37012	4932.YMR105C
P37020	4932.YJR040W
P37292	4932.YBR263W
P37296	4932.YMR054W
P37297	4932.YLR305C
P37298	4932.YDR178W
P37299	4932.YHR001W-A
P37303	4932.YEL046C
P37366	4932.YPR025C
P37370	4932.YLR337C
P37838	4932.YPL043W
P38009	4932.YMR120C
P38011	4932.YMR116C
P38013	4932.YLR109W
P38041	4932.YBL085W
P38042	4932.YBL084C
P38063	4932.YBL068W
P38067	4932.YBR006W
P38069	4932.YBR015C
P38070	4932.YBR028C
P38071	4932.YBR026C
P38074	4932.YBR034C
P38075	4932.YBR035C
P38077	4932.YBR039W
P38080	4932.YBR059C
P38084	4932.YBR068C
P38085	4932.YBR069C
P38086	4932.YBR073W
P38088	4932.YBR121C
P38109	4932.YBR139W
P38110	4932.YBL088C
P38111	4932.YBR136W
P38112	4932.YBR142W
P38115	4932.YBR149W
P38116	4932.YBR164C
P38121	4932.YBL035C
P38123	4932.YBR175W
P38125	4932.YBR180W
P38127	4932.YBR192W
P38128	4932.YBR182C
P38129	4932.YBR198C
P38130	4932.YBR205W
P38132	4932.YBR202W
P38137	4932.YBR222C
P38138	4932.YBR229C
P38139	4932.YBR204C
P38140	4932.YBR239C
P38143	4932.YBR244W
P38144	4932.YBR245C
P38146	4932.YBR264C
P38147	4932.YBR274W
P38148	4932.YBR276C
P38149	4932.YBR281C
P38153	4932.YBR288C
P38165	4932.YBL103C
P38167	4932.YBL101C
P38169	4932.YBL098W
P38170	4932.YBL097W
P38174	4932.YBL091C
P38181	4932.YBL079W
P38182	4932.YBL078C
P38198	4932.YBL034C
P38199	4932.YBL032W
P38203	4932.YBL026W
P38205	4932.YBL024W
P38207	4932.YBL019W
P38208	4932.YBL018C
P38211	4932.YBR004C
P38212	4932.YBR005W
P38217	4932.YBR017C
P38221	4932.YBR029C
P38225	4932.YBR041W
P38227	4932.YBR043C
P38228	4932.YBR044C
P38236	4932.YBR057C
P38237	4932.YBR058C
P38238	4932.YBR061C
P38242	4932.YBR070C
P38244	4932.YBR074W
P38247	4932.YBR077C
P38248	4932.YBR078W
P38249	4932.YBR079C
P38250	4932.YBR086C
P38251	4932.YBR087W
P38255	4932.YBR095C
P38257	4932.YBR098W
P38261	4932.YBR102C
P38262	4932.YBR103W
P38263	4932.YBR105C
P38264	4932.YBR106W
P38265	4932.YBR107C
P38266	4932.YBR108W
P38270	4932.YBR128C
P38271	4932.YBR129C
P38272	4932.YBR130C
P38273	4932.YBR131W
P38274	4932.YBR133C
P38279	4932.YBR147W
P38283	4932.YBR156C
P38285	4932.YBR158W
P38286	4932.YBR159W
P38287	4932.YBR161W
P38289	4932.YBR163W
P38291	4932.YBR167C
P38295	4932.YBR177C
P38297	4932.YBR179C
P38298	4932.YBR183W
P38301	4932.YBR187W
P38304	4932.YBR193C
P38307	4932.YBR201W
P38310	4932.YBR207W
P38313	4932.YBR211C
P38316	4932.YBR217W
P38319	4932.YBR223C
P38323	4932.YBR227C
P38324	4932.YBR228W
P38328	4932.YBR234C
P38329	4932.YBR235W
P38332	4932.YBR246W
P38333	4932.YBR247C
P38334	4932.YBR254C
P38336	4932.YBR257W
P38339	4932.YBR260C
P38340	4932.YBR261C
P38341	4932.YBR262C
P38342	4932.YBR265W
P38344	4932.YBR267W
P38345	4932.YBR269C
P38348	4932.YBR272C
P38351	4932.YBR279W
P38352	4932.YBR280C
P38353	4932.YBR283C
P38356	4932.YBR290W
P38360	4932.YBR295W
P38361	4932.YBR296C
P38426	4932.YMR261C
P38427	4932.YML100W
P38428	4932.YMR264W
P38429	4932.YMR263W
P38431	4932.YPR041W
P38439	4932.YOR123C
P38523	4932.YOR232W
P38555	4932.YER031C
P38590	4932.YNL053W
P38604	4932.YHR072W
P38615	4932.YMR139W
P38622	4932.YGL158W
P38623	4932.YLR248W
P38624	4932.YJL001W
P38626	4932.YIL043C
P38627	4932.YJR103W
P38628	4932.YEL058W
P38629	4932.YNL290W
P38630	4932.YOR217W
P38631	4932.YLR342W
P38632	4932.YEL019C
P38633	4932.YGL127C
P38634	4932.YLR079W
P38636	4932.YNL259C
P38637	4932.YIR011C
P38688	4932.YPL210C
P38689	4932.YHL011C
P38691	4932.YHR082C
P38692	4932.YHR102W
P38695	4932.YHR096C
P38696	4932.YHR129C
P38697	4932.YHR216W
P38700	4932.YHL019C
P38701	4932.YHL015W
P38703	4932.YHL003C
P38704	4932.YHR006W
P38710	4932.YHR046C
P38711	4932.YHR021C
P38712	4932.YHR065C
P38713	4932.YHR073W
P38715	4932.YHR104W
P38717	4932.YNL257C
P38719	4932.YHR169W
P38720	4932.YHR183W
P38731	4932.YHL040C
P38736	4932.YHL031C
P38741	4932.YHL024W
P38742	4932.YHL023C
P38753	4932.YHL002W
P38754	4932.YHL001W
P38755	4932.YHR001W
P38757	4932.YHR004C
P38758	4932.YHR009C
P38759	4932.YHR012W
P38764	4932.YHR027C
P38766	4932.YHR031C
P38768	4932.YHR034C
P38770	4932.YHR036W
P38778	4932.YHR050W
P38779	4932.YHR052W
P38781	4932.YHR056C
P38782	4932.YHR058C
P38785	4932.YHR061C
P38786	4932.YHR062C
P38788	4932.YHR064C
P38792	4932.YHR069C
P38793	4932.YHR070W
P38797	4932.YHR076W
P38800	4932.YHR080C
P38801	4932.YHR081W
P38803	4932.YHR085W
P38805	4932.YHR088W
P38806	4932.YHR090C
P38810	4932.YHR098C
P38811	4932.YHR099W
P38815	4932.YHR105W
P38817	4932.YHR108W
P38820	4932.YHR111W
P38821	4932.YHR113W
P38822	4932.YHR114W
P38823	4932.YHR115C
P38825	4932.YHR117W
P38826	4932.YHR118C
P38827	4932.YHR119W
P38830	4932.YHR124W
P38836	4932.YHR132C
P38838	4932.YHR134W
P38840	4932.YHR137W
P38843	4932.YHR142W
P38844	4932.YHR143W
P38850	4932.YHR154W
P38853	4932.YHR158C
P38855	4932.YHR160C
P38856	4932.YHR161C
P38857	4932.YHR162W
P38859	4932.YHR164C
P38861	4932.YHR170W
P38862	4932.YHR171W
P38863	4932.YHR172W
P38869	4932.YHR181W
P38870	4932.YHR182W
P38873	4932.YHR186C
P38874	4932.YHR187W
P38875	4932.YHR188C
P38878	4932.YHR192W
P38879	4932.YHR193C
P38881	4932.YHR195W
P38882	4932.YHR196W
P38883	4932.YHR197W
P38886	4932.YHR200W
P38888	4932.YHR204W
P38889	4932.YHR206W
P38890	4932.YHR207C
P38891	4932.YHR208W
P38894	4932.YHR211W
P38902	4932.YOL005C
P38903	4932.YOR014W
P38907	4932.YDR254W
P38910	4932.YOR020C
P38911	4932.YML074C
P38912	4932.YMR260C
P38915	4932.YLR055C
P38920	4932.YMR167W
P38922	4932.YNL004W
P38925	4932.YOL122C
P38927	4932.YIL139C
P38928	4932.YIL140W
P38929	4932.YGL006W
P38930	4932.YOR039W
P38931	4932.YDR443C
P38932	4932.YGL095C
P38934	4932.YOR198C
P38953	4932.YDR076W
P38954	4932.YDR072C
P38956	4932.YDR073W
P38959	4932.YDR080W
P38960	4932.YDR082W
P38961	4932.YDR083W
P38967	4932.YOL020W
P38968	4932.YDL195W
P38970	4932.YJL165C
P38987	4932.YML064C
P38989	4932.YFR031C
P38990	4932.YER129W
P38991	4932.YPL209C
P38992	4932.YDR297W
P38993	4932.YMR058W
P38994	4932.YDR208W
P38995	4932.YDR270W
P38996	4932.YPL190C
P38998	4932.YIR034C
P39001	4932.YDR207C
P39002	4932.YIL009W
P39003	4932.YDR343C
P39004	4932.YDR342C
P39006	4932.YNL169C
P39007	4932.YGL022W
P39008	4932.YNR052C
P39009	4932.YDL101C
P39010	4932.YDR264C
P39012	4932.YLR088W
P39013	4932.YNL084C
P39014	4932.YIL046W
P39015	4932.YLR150W
P39016	4932.YGL178W
P39073	4932.YPL042C
P39081	4932.YDR228C
P39083	4932.YOR127W
P39104	4932.YNL267W
P39105	4932.YMR008C
P39107	4932.YPL050C
P39108	4932.YDR142C
P39109	4932.YDR135C
P39111	4932.YGR020C
P39112	4932.YMR287C
P39515	4932.YJL143W
P39516	4932.YJL191W
P39517	4932.YDL160C
P39518	4932.YER015W
P39520	4932.YLR223C
P39521	4932.YPR104C
P39522	4932.YJR016C
P39524	4932.YAL026C
P39531	4932.YJL204C
P39533	4932.YJL200C
P39538	4932.YJL197W
P39540	4932.YJL196C
P39547	4932.YAR027W
P39552	4932.YAR033W
P39676	4932.YGR234W
P39678	4932.YDL056W
P39683	4932.YOR209C
P39685	4932.YMR129W
P39702	4932.YAL002W
P39704	4932.YAL007C
P39705	4932.YAR002W
P39706	4932.YAR003W
P39707	4932.YAR008W
P39714	4932.YAL060W
P39717	4932.YAL056W
P39719	4932.YAL053W
P39720	4932.YAL051W
P39722	4932.YAL048C
P39723	4932.YAL047C
P39726	4932.YAL044C
P39727	4932.YAL042W
P39729	4932.YAL036C
P39730	4932.YAL035W
P39731	4932.YAL034W-A
P39735	4932.YAL027W
P39742	4932.YLR292C
P39743	4932.YDR388W
P39744	4932.YOR206W
P39875	4932.YOR033C
P39904	4932.YDR484W
P39923	4932.YEL062W
P39925	4932.YER017C
P39926	4932.YMR183C
P39928	4932.YIL147C
P39929	4932.YLR025W
P39935	4932.YGR162W
P39936	4932.YGL049C
P39940	4932.YER125W
P39943	4932.YER028C
P39946	4932.YOR269W
P39952	4932.YER154W
P39956	4932.YER169W
P39958	4932.YER136W
P39960	4932.YER155C
P39962	4932.YER123W
P39966	4932.YER089C
P39968	4932.YEL013W
P39969	4932.YER114C
P39976	4932.YEL071W
P39979	4932.YEL066W
P39984	4932.YEL056W
P39985	4932.YEL055C
P39986	4932.YEL031W
P39990	4932.YEL026W
P39993	4932.YEL022W
P39995	4932.YEL018W
P39997	4932.YEL016C
P39998	4932.YEL015W
P40009	4932.YER005W
P40010	4932.YER006W
P40011	4932.YER010C
P40013	4932.YER016W
P40014	4932.YER018C
P40015	4932.YER019W
P40016	4932.YER021W
P40018	4932.YER029C
P40021	4932.YER033C
P40024	4932.YER036C
P40028	4932.YER041W
P40032	4932.YER049W
P40034	4932.YER051W
P40046	4932.YER072W
P40047	4932.YER073W
P40048	4932.YER075C
P40054	4932.YER081W
P40055	4932.YER082C
P40056	4932.YER083C
P40059	4932.YER088C
P40061	4932.YER093C
P40063	4932.YER104W
P40064	4932.YER105C
P40065	4932.YER106W
P40066	4932.YER107C
P40069	4932.YER110C
P40070	4932.YER112W
P40072	4932.YER116C
P40073	4932.YER118C
P40075	4932.YER120W
P40078	4932.YER126C
P40084	4932.YER139C
P40086	4932.YER141W
P40087	4932.YER143W
P40089	4932.YER146W
P40090	4932.YER147C
P40091	4932.YER149C
P40094	4932.YER157W
P40096	4932.YER159C
P40106	4932.YER062C
P40107	4932.YGL225W
P40150	4932.YNL209W
P40151	4932.YNL218W
P40152	4932.YNL217W
P40160	4932.YNL207W
P40161	4932.YNL206C
P40164	4932.YNL201C
P40167	4932.YNL196C
P40186	4932.YIL050W
P40202	4932.YMR038C
P40204	4932.YFL017W-A
P40208	4932.YMR135C
P40215	4932.YMR145C
P40217	4932.YMR146C
P40218	4932.YMR147W
P40219	4932.YMR148W
P40302	4932.YMR314W
P40303	4932.YOL038W
P40308	4932.YMR313C
P40316	4932.YDR113C
P40318	4932.YIL030C
P40319	4932.YLR372W
P40327	4932.YDL007W
P40335	4932.YJL053W
P40339	4932.YOL094C
P40340	4932.YGR270W
P40341	4932.YMR089C
P40343	4932.YNR006W
P40344	4932.YNR007C
P40345	4932.YNR008W
P40347	4932.YPR073C
P40348	4932.YJR068W
P40352	4932.YJR035W
P40353	4932.YOR377W
P40356	4932.YGL025C
P40357	4932.YGR009C
P40358	4932.YJL073W
P40359	4932.YJL072C
P40360	4932.YJL071W
P40362	4932.YJL069C
P40367	4932.YJL062W
P40368	4932.YJL061W
P40395	4932.YLR039C
P40414	4932.YIL138C
P40416	4932.YMR301C
P40422	4932.YHR143W-A
P40438	4932.YIL173W
P40450	4932.YIL159W
P40453	4932.YIL156W
P40454	4932.YIL153W
P40457	4932.YIL149C
P40458	4932.YIL146C
P40460	4932.YIL144W
P40462	4932.YIL137C
P40465	4932.YIL132C
P40466	4932.YIL131C
P40467	4932.YIL130W
P40469	4932.YIL128W
P40471	4932.YIL124W
P40472	4932.YIL123W
P40477	4932.YIL115C
P40479	4932.YIL113W
P40482	4932.YIL109C
P40484	4932.YIL106W
P40485	4932.YIL105C
P40487	4932.YIL103W
P40489	4932.YIL101C
P40492	4932.YIL097W
P40494	4932.YIL095W
P40495	4932.YIL094C
P40498	4932.YIL091C
P40501	4932.YIL088C
P40505	4932.YIL084C
P40506	4932.YIL083C
P40507	4932.YIL079C
P40509	4932.YIL076W
P40510	4932.YIL074C
P40515	4932.YIL065C
P40526	4932.YIL049W
P40527	4932.YIL048W
P40530	4932.YIL042C
P40535	4932.YIL036W
P40537	4932.YIL031W
P40540	4932.YIL027C
P40541	4932.YIL026C
P40547	4932.YIL017C
P40548	4932.YIL016W
P40553	4932.YIL010W
P40554	4932.YIL008W
P40556	4932.YIL006W
P40557	4932.YIL005W
P40558	4932.YIL003W
P40559	4932.YIL002C
P40562	4932.YIR002C
P40563	4932.YIR003W
P40564	4932.YIR004W
P40565	4932.YIR005W
P40568	4932.YIR010W
P40571	4932.YIR015W
P40573	4932.YIR017C
P40577	4932.YIR025W
P40581	4932.YIR037W
P40693	4932.YNL002C
P40825	4932.YOR335C
P40850	4932.YNL085W
P40851	4932.YPR122W
P40857	4932.YJL097W
P40917	4932.YOR028C
P40955	4932.YJL099W
P40956	4932.YGL181W
P40957	4932.YGL086W
P40958	4932.YJL030W
P40959	4932.YMR004W
P40961	4932.YGR132C
P40963	4932.YMR127C
P40968	4932.YDR364C
P40969	4932.YMR168C
P40970	4932.YDR062W
P40988	4932.YMR319C
P40989	4932.YGR032W
P40991	4932.YNL061W
P40992	4932.YJL025W
P40993	4932.YDR478W
P40994	4932.YOR094W
P41056	4932.YOR234C
P41277	4932.YIL053W
P41318	4932.YNL006W
P41338	4932.YPL028W
P41543	4932.YJL002C
P41546	4932.YFL031W
P41695	4932.YGR188C
P41696	4932.YOR113W
P41697	4932.YLR319C
P41698	4932.YLR353W
P41735	4932.YOR125C
P41800	4932.YLL006W
P41805	4932.YLR075W
P41807	4932.YPR036W
P41808	4932.YPR054W
P41809	4932.YDR420W
P41810	4932.YDR238C
P41811	4932.YGL137W
P41812	4932.YNL221C
P41813	4932.YNL068C
P41816	4932.YPL171C
P41821	4932.YNL291C
P41832	4932.YNL271C
P41833	4932.YGL192W
P41834	4932.YOR075W
P41835	4932.YPL214C
P41895	4932.YGR186W
P41896	4932.YGR005C
P41901	4932.YGR059W
P41909	4932.YPL147W
P41911	4932.YOL059W
P41920	4932.YDR002W
P41921	4932.YPL091W
P41939	4932.YLR174W
P41948	4932.YNL142W
P42073	4932.YDR195W
P42835	4932.YNL327W
P42836	4932.YNL326C
P42837	4932.YNL325C
P42838	4932.YNL323W
P42839	4932.YNL321W
P42844	4932.YNL310C
P42845	4932.YNL309W
P42935	4932.YGR200C
P42939	4932.YGR206W
P42945	4932.YJL109C
P42949	4932.YJL104W
P42951	4932.YJL100W
P43122	4932.YDL104C
P43123	4932.YDL103C
P43132	4932.YLR015W
P43321	4932.YLR147C
P43497	4932.YKL096W-A
P43534	4932.YFL058W
P43535	4932.YFR009W
P43555	4932.YFL048C
P43558	4932.YFL044C
P43561	4932.YFL041W
P43563	4932.YFL034C-B
P43564	4932.YFL034W
P43565	4932.YFL033C
P43567	4932.YFL030W
P43571	4932.YFL025C
P43572	4932.YFL024C
P43573	4932.YFL023W
P43583	4932.YFL007W
P43585	4932.YFL004W
P43586	4932.YFR001W
P43587	4932.YFR003C
P43588	4932.YFR004W
P43593	4932.YFR010W
P43594	4932.YFR011C
P43601	4932.YFR021W
P43602	4932.YFR022W
P43603	4932.YFR024C-A
P43605	4932.YFR027W
P43609	4932.YFR037C
P43610	4932.YFR038W
P43612	4932.YFR040W
P43616	4932.YFR044C
P43618	4932.YFR046C
P43621	4932.YFR051C
P43633	4932.YGL021W
P43635	4932.YPR001W
P43636	4932.YGL065C
P43637	4932.YGL179C
P43639	4932.YGL019W
P43682	4932.YKL006C-A
P45818	4932.YGL171W
P45978	4932.YPR129W
P46367	4932.YOR374W
P46654	4932.YLR048W
P46655	4932.YGL245W
P46669	4932.YOR340C
P46672	4932.YGL105W
P46673	4932.YJR042W
P46674	4932.YDR159W
P46675	4932.YLR045C
P46676	4932.YDR310C
P46677	4932.YGR274C
P46678	4932.YNL039W
P46680	4932.YMR092C
P46681	4932.YDL178W
P46682	4932.YGR261C
P46683	4932.YPL239W
P46943	4932.YLR289W
P46944	4932.YDR108W
P46946	4932.YGL175C
P46947	4932.YGL174W
P46948	4932.YGR195W
P46951	4932.YGR198W
P46957	4932.YJR006W
P46959	4932.YJL125C
P46962	4932.YJL006C
P46963	4932.YML112W
P46964	4932.YOR103C
P46971	4932.YJR143C
P46972	4932.YMR035W
P46984	4932.YJL184W
P46985	4932.YJL183W
P46989	4932.YJL178C
P46990	4932.YJL177W
P46995	4932.YJL168C
P47001	4932.YJL158C
P47002	4932.YJL156C
P47006	4932.YJL148W
P47008	4932.YJL145W
P47011	4932.YJL137C
P47013	4932.YJL134W
P47016	4932.YJL126W
P47017	4932.YJL124C
P47025	4932.YJL112W
P47026	4932.YJL091C
P47027	4932.YJL090C
P47029	4932.YJL084C
P47032	4932.YJL079C
P47033	4932.YJL078C
P47035	4932.YJL076W
P47037	4932.YJL074C
P47039	4932.YJL060W
P47041	4932.YJL058C
P47042	4932.YJL057C
P47043	4932.YJL056C
P47047	4932.YJL050W
P47050	4932.YJL047C
P47054	4932.YJL039C
P47057	4932.YJL036W
P47058	4932.YJL035C
P47061	4932.YJL029C
P47064	4932.YJL024C
P47068	4932.YJL020C
P47069	4932.YJL019W
P47074	4932.YJL013C
P47075	4932.YJL012C
P47076	4932.YJL011C
P47077	4932.YJL010C
P47082	4932.YJR001W
P47083	4932.YJR002W
P47093	4932.YJR022W
P47096	4932.YJR025C
P47102	4932.YJR031C
P47103	4932.YJR032W
P47104	4932.YJR033C
P47110	4932.YJR043C
P47112	4932.YJR046W
P47113	4932.YJR053W
P47114	4932.YJR054W
P47116	4932.YJR059W
P47119	4932.YJR069C
P47120	4932.YJR070C
P47122	4932.YJR072C
P47124	4932.YJR075W
P47130	4932.YJR084W
P47134	4932.YJR089W
P47136	4932.YJR092W
P47142	4932.YJR102C
P47143	4932.YJR105W
P47149	4932.YJR112W
P47154	4932.YJR117W
P47156	4932.YJR119C
P47158	4932.YJR122W
P47160	4932.YJR125C
P47164	4932.YJR130C
P47167	4932.YJR135C
P47169	4932.YJR137C
P47170	4932.YJR138W
P47171	4932.YJR140C
P47176	4932.YJR148W
P47178	4932.YJR150C
P47190	4932.YOR321W
P47818	4932.YLR220W
P47821	4932.YNL025C
P47822	4932.YDR308C
P47912	4932.YMR246W
P47977	4932.YLR136C
P48016	4932.YPR026W
P48164	4932.YNL096C
P48231	4932.YNL087W
P48236	4932.YGR149W
P48237	4932.YGR150C
P48240	4932.YGR158C
P48360	4932.YDR376W
P48361	4932.YGR097W
P48412	4932.YGR072W
P48415	4932.YPL085W
P48439	4932.YOR085W
P48445	4932.YDL141W
P48510	4932.YMR276W
P48524	4932.YMR275C
P48558	4932.YNL305C
P48559	4932.YNL304W
P48561	4932.YNL299W
P48562	4932.YNL298W
P48563	4932.YNL297C
P48566	4932.YNL293W
P48581	4932.YOR368W
P48582	4932.YPL084W
P48813	4932.YDR508C
P48836	4932.YHR039C-A
P48837	4932.YGR119C
P49017	4932.YML110C
P49018	4932.YDR331W
P49095	4932.YMR189W
P49166	4932.YLR185W
P49334	4932.YNL131W
P49435	4932.YML022W
P49573	4932.YPR124W
P49626	4932.YDR012W
P49686	4932.YDR192C
P49687	4932.YGL092W
P49704	4932.YGR091W
P49723	4932.YGR180C
P49775	4932.YDR305C
P49955	4932.YMR288W
P49956	4932.YMR078C
P49957	4932.YML014W
P50076	4932.YGR227W
P50077	4932.YGR217W
P50078	4932.YGR221C
P50079	4932.YGR223C
P50082	4932.YGR225W
P50085	4932.YGR231C
P50087	4932.YGR235C
P50090	4932.YGR238C
P50091	4932.YGR239C
P50094	4932.YML056C
P50095	4932.YLR432W
P50101	4932.YMR304W
P50102	4932.YMR223W
P50105	4932.YMR005W
P50106	4932.YDR156W
P50107	4932.YML004C
P50108	4932.YDR245W
P50110	4932.YMR060C
P50111	4932.YMR273C
P50275	4932.YOR058C
P50623	4932.YDL064W
P50861	4932.YOL143C
P50873	4932.YDL079C
P50874	4932.YNL261W
P50875	4932.YOL148C
P50942	4932.YNL106C
P50945	4932.YNL100W
P50947	4932.YNL097C
P51402	4932.YDR500C
P51601	4932.YGR267C
P51862	4932.YLR371W
P51979	4932.YGL251C
P51996	4932.YGL210W
P52286	4932.YDR328C
P52488	4932.YDR390C
P52489	4932.YOR347C
P52490	4932.YDR092W
P52491	4932.YLR306W
P52553	4932.YLR200W
P52593	4932.YML103C
P52870	4932.YER087C-B
P52871	4932.YER019C-A
P52891	4932.YDL116W
P52893	4932.YLR089C
P52910	4932.YLR153C
P52917	4932.YPR173C
P52920	4932.YGL091C
P52960	4932.YOR363C
P53008	4932.YGL027C
P53010	4932.YGL094C
P53011	4932.YGL100W
P53012	4932.YGL126W
P53032	4932.YGL162W
P53037	4932.YGR170W
P53038	4932.YGR099W
P53039	4932.YGR172C
P53040	4932.YGL112C
P53043	4932.YGR123C
P53044	4932.YGR048W
P53045	4932.YGR060W
P53048	4932.YGR289C
P53049	4932.YGR281W
P53051	4932.YGR287C
P53061	4932.YGL249W
P53063	4932.YGL246C
P53064	4932.YGL244W
P53067	4932.YGL241W
P53068	4932.YGL240W
P53076	4932.YGL227W
P53079	4932.YGL223C
P53082	4932.YGL220W
P53083	4932.YGL219C
P53086	4932.YGL216W
P53088	4932.YGL211W
P53090	4932.YGL202W
P53091	4932.YGL201C
P53093	4932.YGL198W
P53095	4932.YGL196W
P53096	4932.YGL194C
P53104	4932.YGL180W
P53109	4932.YGL160W
P53112	4932.YGL153W
P53114	4932.YGL151W
P53115	4932.YGL150C
P53119	4932.YGL141W
P53127	4932.YGL131C
P53129	4932.YGL124C
P53131	4932.YGL120C
P53135	4932.YGL113W
P53137	4932.YGL110C
P53140	4932.YGL107C
P53141	4932.YGL106W
P53144	4932.YGL101W
P53145	4932.YGL099W
P53146	4932.YGL098W
P53148	4932.YGL093W
P53150	4932.YGL090W
P53152	4932.YGL087C
P53154	4932.YGL084C
P53157	4932.YGL080W
P53159	4932.YGL075C
P53163	4932.YGL068W
P53164	4932.YGL067W
P53165	4932.YGL066W
P53166	4932.YGL064C
P53168	4932.YGL061C
P53170	4932.YGL059W
P53173	4932.YGL054C
P53176	4932.YGL051W
P53178	4932.YGL047W
P53184	4932.YGL037C
P53191	4932.YGL023C
P53192	4932.YGL020C
P53193	4932.YGL018C
P53195	4932.YGL005C
P53196	4932.YGL004C
P53197	4932.YGL003C
P53199	4932.YGL001C
P53201	4932.YGR002C
P53202	4932.YGR003W
P53204	4932.YGR010W
P53207	4932.YGR013W
P53208	4932.YGR015C
P53215	4932.YGR024C
P53218	4932.YGR030C
P53219	4932.YGR031W
P53223	4932.YGR036C
P53224	4932.YGR038W
P53226	4932.YGR041W
P53230	4932.YGR046W
P53233	4932.YGR052W
P53236	4932.YGR056W
P53238	4932.YGR058W
P53250	4932.YGR080W
P53251	4932.YGR081C
P53252	4932.YGR086C
P53254	4932.YGR090W
P53255	4932.YGR093W
P53256	4932.YGR095C
P53259	4932.YGR101W
P53261	4932.YGR103W
P53262	4932.YGR106C
P53264	4932.YGR110W
P53267	4932.YGR113W
P53271	4932.YGR120C
P53276	4932.YGR128C
P53277	4932.YGR129W
P53281	4932.YGR136W
P53286	4932.YGR142W
P53290	4932.YGR163W
P53294	4932.YGR169C
P53296	4932.YGR177C
P53297	4932.YGR178C
