From	Entry	Entry Name	Organism	Gene Ontology (GO)	Gene Ontology IDs
4932.YHR027C	P38764	RPN1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]; enzyme regulator activity [GO:0030234]; protein-macromolecule adaptor activity [GO:0030674]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000502; GO:0005634; GO:0005737; GO:0005783; GO:0006511; GO:0008540; GO:0030234; GO:0030674; GO:0034515; GO:0042176; GO:0043161
4932.YLR398C	P35207	SKI2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; Ski complex [GO:0055087]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]; defense response to virus [GO:0051607]; mRNA catabolic process [GO:0006402]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; regulation of translation [GO:0006417]	GO:0000956; GO:0003677; GO:0003724; GO:0003729; GO:0005524; GO:0005737; GO:0006402; GO:0006417; GO:0016887; GO:0051607; GO:0055087; GO:0070478; GO:0070481
4932.YFR015C	P23337	GYS1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; glycogen granule [GO:0042587]; mitochondrion [GO:0005739]; alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity [GO:0004373]; glycogen biosynthetic process [GO:0005978]	GO:0004373; GO:0005737; GO:0005739; GO:0005978; GO:0042587
4932.YMR120C	P38009	PUR92_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; plasma membrane [GO:0005886]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]	GO:0003937; GO:0004643; GO:0005829; GO:0005886; GO:0006164; GO:0006189
4932.YLR086W	Q12267	SMC4_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	condensin complex [GO:0000796]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid segregation [GO:0000070]; rDNA chromatin condensation [GO:0070550]; tRNA gene clustering [GO:0070058]	GO:0000070; GO:0000796; GO:0003682; GO:0005524; GO:0005634; GO:0005737; GO:0007076; GO:0016887; GO:0030261; GO:0051301; GO:0070058; GO:0070550
4932.YLR028C	P54113	PUR91_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]	GO:0003937; GO:0004643; GO:0005829; GO:0006164; GO:0006189
4932.YFL037W	P02557	TBB_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; microtubule [GO:0005874]; tubulin complex [GO:0045298]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly [GO:0090307]; mitotic spindle elongation [GO:0000022]; positive regulation of intracellular protein transport [GO:0090316]; response to antibiotic [GO:0046677]	GO:0000022; GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007010; GO:0007017; GO:0031122; GO:0045298; GO:0046677; GO:0046872; GO:0090307; GO:0090316
4932.YNL209W	P40150	SSB2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; 'de novo' cotranslational protein folding [GO:0051083]; cellular response to glucose starvation [GO:0042149]; chaperone cofactor-dependent protein refolding [GO:0051085]; cytoplasmic translation [GO:0002181]; protein refolding [GO:0042026]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]	GO:0000054; GO:0002181; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006364; GO:0006450; GO:0006452; GO:0010494; GO:0016887; GO:0031072; GO:0042026; GO:0042149; GO:0044183; GO:0051082; GO:0051083; GO:0051085; GO:0140662
4932.YDL229W	P11484	SSB1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; calmodulin binding [GO:0005516]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; 'de novo' cotranslational protein folding [GO:0051083]; chaperone cofactor-dependent protein refolding [GO:0051085]; cytoplasmic translation [GO:0002181]; protein refolding [GO:0042026]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]; translational termination [GO:0006415]	GO:0000054; GO:0002181; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006364; GO:0006415; GO:0006450; GO:0006452; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082; GO:0051083; GO:0051085; GO:0140662
4932.YFR031C	P38989	SMC2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	chromatin [GO:0000785]; condensed chromosome [GO:0000793]; condensin complex [GO:0000796]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA secondary structure binding [GO:0000217]; double-stranded DNA binding [GO:0003690]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of meiotic DNA double-strand break formation [GO:1903342]; rDNA chromatin condensation [GO:0070550]; tRNA gene clustering [GO:0070058]	GO:0000070; GO:0000217; GO:0000785; GO:0000793; GO:0000796; GO:0003680; GO:0003682; GO:0003690; GO:0005524; GO:0005634; GO:0005739; GO:0007076; GO:0016887; GO:0030261; GO:0051301; GO:0070058; GO:0070550; GO:1903342
4932.YHL035C	P38735	VMR1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; response to metal ion [GO:0010038]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	GO:0000329; GO:0005524; GO:0005739; GO:0008559; GO:0010038; GO:0016887; GO:0042626; GO:0055085; GO:1990961
4932.YLR258W	P27472	GYS2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen granule [GO:0042587]; nucleus [GO:0005634]; alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity [GO:0004373]; glycogen binding [GO:2001069]; identical protein binding [GO:0042802]; glycogen biosynthetic process [GO:0005978]	GO:0004373; GO:0005634; GO:0005737; GO:0005829; GO:0005978; GO:0042587; GO:0042802; GO:2001069
4932.YDL140C	P04050	RPB1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; RNA-templated transcription [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II [GO:0006368]; transcription initiation at RNA polymerase II promoter [GO:0006367]; translesion synthesis [GO:0019985]	GO:0001054; GO:0001055; GO:0001056; GO:0001057; GO:0001058; GO:0001065; GO:0001066; GO:0001172; GO:0003677; GO:0005634; GO:0005665; GO:0005739; GO:0006366; GO:0006367; GO:0006368; GO:0010494; GO:0019985; GO:0046872
4932.YML085C	P09733	TBA1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; spindle [GO:0005819]; tubulin complex [GO:0045298]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; homologous chromosome segregation [GO:0045143]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; nuclear division [GO:0000280]; nuclear migration along microtubule [GO:0030473]; nuclear migration by microtubule mediated pushing forces [GO:0098863]	GO:0000070; GO:0000226; GO:0000278; GO:0000280; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005819; GO:0005874; GO:0016787; GO:0030473; GO:0034399; GO:0045143; GO:0045298; GO:0046872; GO:0098863
4932.YIL075C	P32565	RPN2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]; enzyme regulator activity [GO:0030234]; ubiquitin protein ligase binding [GO:0031625]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000502; GO:0005634; GO:0006511; GO:0008540; GO:0030234; GO:0031625; GO:0034515; GO:0042176; GO:0043161; GO:0043248
4932.YLL039C	P0CG63	UBI4P_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; peroxisome [GO:0005777]; protein tag activity [GO:0031386]; ubiquitin protein ligase binding [GO:0031625]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]	GO:0005634; GO:0005737; GO:0005777; GO:0005829; GO:0016567; GO:0019941; GO:0031386; GO:0031625
4932.YFL039C	P60010	ACT_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud neck contractile ring [GO:0000142]; chromatin [GO:0000785]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; structural constituent of cytoskeleton [GO:0005200]; ascospore wall assembly [GO:0030476]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; DNA-templated transcription [GO:0006351]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; mitotic actomyosin contractile ring contraction [GO:1902404]; protein secretion [GO:0009306]; regulation of DNA-templated transcription [GO:0006355]; vacuole inheritance [GO:0000011]	GO:0000011; GO:0000142; GO:0000785; GO:0000812; GO:0005200; GO:0005524; GO:0005634; GO:0005884; GO:0006281; GO:0006338; GO:0006351; GO:0006355; GO:0006897; GO:0009306; GO:0015629; GO:0016887; GO:0030010; GO:0030476; GO:0030479; GO:0031011; GO:0032432; GO:0035267; GO:0042802; GO:1902404
4932.YGL173C	P22147	XRN1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eisosome membrane domain/MCC [GO:0090512]; microtubule [GO:0005874]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; 5'-3' RNA exonuclease activity [GO:0004534]; chromatin binding [GO:0003682]; eukaryotic initiation factor 4G binding [GO:0031370]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; cellular response to nitrogen starvation [GO:0006995]; karyogamy [GO:0000741]; mRNA destabilization [GO:0061157]; NAD-cap decapping [GO:0110155]; negative regulation of macroautophagy [GO:0016242]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay [GO:0070479]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of telomere maintenance [GO:0032204]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; sno(s)RNA processing [GO:0043144]; translational initiation [GO:0006413]; traversing start control point of mitotic cell cycle [GO:0007089]; tRNA decay [GO:0016078]	GO:0000184; GO:0000741; GO:0000932; GO:0000956; GO:0003682; GO:0003723; GO:0003729; GO:0004534; GO:0005634; GO:0005737; GO:0005829; GO:0005874; GO:0006364; GO:0006413; GO:0006995; GO:0007089; GO:0010494; GO:0016075; GO:0016078; GO:0016242; GO:0031370; GO:0032204; GO:0032968; GO:0043144; GO:0048471; GO:0060261; GO:0061157; GO:0070479; GO:0070651; GO:0070966; GO:0090512; GO:0110155
4932.YAL035W	P39730	IF2P_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; eukaryotic 48S preinitiation complex [GO:0033290]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; ribosome binding [GO:0043022]; small ribosomal subunit rRNA binding [GO:0070181]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; cytosolic ribosome assembly [GO:0042256]; formation of cytoplasmic translation initiation complex [GO:0001732]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of translational initiation [GO:0006446]; ribosome assembly [GO:0042255]; translational initiation [GO:0006413]	GO:0000462; GO:0001732; GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005829; GO:0006413; GO:0006446; GO:0010494; GO:0022627; GO:0031369; GO:0033290; GO:0042255; GO:0042256; GO:0043022; GO:0046872; GO:0070181
4932.YLR389C	Q06010	STE23_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; mitochondrial protein processing [GO:0034982]; peptide catabolic process [GO:0043171]; peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion [GO:0071432]; proteolysis involved in protein catabolic process [GO:0051603]; response to pheromone [GO:0019236]	GO:0004222; GO:0005739; GO:0005759; GO:0005829; GO:0016020; GO:0019236; GO:0034982; GO:0043171; GO:0046872; GO:0051603; GO:0071432
4932.YOR291W	Q12697	YPK9_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]; vacuole-mitochondrion membrane contact site [GO:1990816]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; cupric ion binding [GO:1903135]; manganese ion binding [GO:0030145]; P-type ion transporter activity [GO:0015662]; zinc ion binding [GO:0008270]; intracellular calcium ion homeostasis [GO:0006874]; intracellular manganese ion homeostasis [GO:0030026]; intracellular zinc ion homeostasis [GO:0006882]; transmembrane transport [GO:0055085]	GO:0000329; GO:0005524; GO:0006874; GO:0006882; GO:0008270; GO:0015662; GO:0016020; GO:0016887; GO:0019829; GO:0030026; GO:0030145; GO:0055085; GO:1903135; GO:1990816
4932.YML124C	P09734	TBA3_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; spindle [GO:0005819]; tubulin complex [GO:0045298]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; homologous chromosome segregation [GO:0045143]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; nuclear division [GO:0000280]; nuclear migration along microtubule [GO:0030473]; nuclear migration by microtubule mediated pushing forces [GO:0098863]	GO:0000070; GO:0000226; GO:0000278; GO:0000280; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005819; GO:0005874; GO:0016787; GO:0030473; GO:0045143; GO:0045298; GO:0046872; GO:0098863
4932.YJL111W	P42943	TCPH_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	chaperonin-containing T-complex [GO:0005832]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]	GO:0005524; GO:0005737; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0051086; GO:0140662
4932.YGR281W	P53049	YOR1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cell periphery [GO:0071944]; plasma membrane [GO:0005886]; ABC-type cadmium transporter activity [GO:0015434]; ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transport [GO:0055085]; xenobiotic transport [GO:0042908]	GO:0005524; GO:0005886; GO:0008559; GO:0015431; GO:0015434; GO:0016887; GO:0042908; GO:0055085; GO:0071944
4932.YOL090W	P25847	MSH2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MutSalpha complex [GO:0032301]; MutSbeta complex [GO:0032302]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-strand/single-strand DNA junction binding [GO:0000406]; four-way junction DNA binding [GO:0000400]; mismatched DNA binding [GO:0030983]; DNA recombination [GO:0006310]; interstrand cross-link repair [GO:0036297]; meiotic gene conversion [GO:0006311]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; mitotic recombination [GO:0006312]; removal of nonhomologous ends [GO:0000735]; replication fork arrest [GO:0043111]; silent mating-type cassette heterochromatin formation [GO:0030466]	GO:0000228; GO:0000400; GO:0000406; GO:0000710; GO:0000735; GO:0005524; GO:0005634; GO:0006298; GO:0006310; GO:0006311; GO:0006312; GO:0016887; GO:0030466; GO:0030983; GO:0032301; GO:0032302; GO:0036297; GO:0043111; GO:0140664
4932.YDR212W	P12612	TCPA_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	chaperonin-containing T-complex [GO:0005832]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]	GO:0005524; GO:0005832; GO:0005886; GO:0006457; GO:0016887; GO:0051082; GO:0051086; GO:0140662
4932.YGL234W	P07244	PUR2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleobase metabolic process [GO:0006144]; purine nucleotide biosynthetic process [GO:0006164]	GO:0004637; GO:0004641; GO:0005524; GO:0005737; GO:0005829; GO:0006144; GO:0006164; GO:0006189; GO:0046084; GO:0046872
4932.YIL142W	P39076	TCPB_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	chaperonin-containing T-complex [GO:0005832]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]	GO:0005524; GO:0005737; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0051086; GO:0140662
4932.YJR064W	P40413	TCPE_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]	GO:0005524; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0051086; GO:0140662
4932.YDR093W	Q12675	ATC4_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cell periphery [GO:0071944]; cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; mating projection tip membrane [GO:0070867]; phospholipid-translocating ATPase complex [GO:1990531]; plasma membrane [GO:0005886]; aminophospholipid flippase activity [GO:0015247]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; glycosylceramide flippase activity [GO:0140351]; magnesium ion binding [GO:0000287]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylethanolamine flippase activity [GO:0090555]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]; ceramide translocation [GO:0099040]; endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; phospholipid translocation [GO:0045332]; protein transport [GO:0015031]	GO:0000287; GO:0005524; GO:0005783; GO:0005886; GO:0005935; GO:0006897; GO:0007163; GO:0015031; GO:0015247; GO:0016887; GO:0045332; GO:0070867; GO:0071944; GO:0090554; GO:0090555; GO:0090556; GO:0099040; GO:0140326; GO:0140346; GO:0140351; GO:1990531
4932.YER025W	P32481	IF2G_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 2 complex [GO:0005850]; multi-eIF complex [GO:0043614]; ribosome [GO:0005840]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; methionyl-initiator methionine tRNA binding [GO:1990856]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; formation of translation preinitiation complex [GO:0001731]; positive regulation of translational fidelity [GO:0045903]; translational initiation [GO:0006413]	GO:0001731; GO:0003743; GO:0003924; GO:0005525; GO:0005829; GO:0005840; GO:0005850; GO:0006413; GO:0016282; GO:0031369; GO:0033290; GO:0043614; GO:0045903; GO:1990856
4932.YGR061C	P38972	PUR4_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]	GO:0004642; GO:0005524; GO:0005737; GO:0006164; GO:0006189; GO:0046872
4932.YGL201C	P53091	MCM6_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CMG complex [GO:0071162]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; MCM core complex [GO:0097373]; nuclear pre-replicative complex [GO:0005656]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; DNA strand elongation involved in DNA replication [GO:0006271]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication [GO:1902969]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; premeiotic DNA replication [GO:0006279]	GO:0000727; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0005656; GO:0005737; GO:0006260; GO:0006267; GO:0006270; GO:0006271; GO:0006279; GO:0009378; GO:0016887; GO:0017116; GO:0031261; GO:0031298; GO:0036121; GO:0042555; GO:0043596; GO:0061749; GO:0071162; GO:0097373; GO:1902969; GO:1990518
